campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,calculated_roas,ctr,conversion_rate,cpc,cpa
737744,Flash Sale,2023-01-05,Premium,SMS,941,251,54,71.59,207.95,2.03,2.904735298226009,0.2667375132837407,0.2151394422310757,0.2852191235059761,1.3257407407407409
35079,Membership Drive,2023-01-05,All,App,819,192,68,79.43,467.55,2.81,5.886314994334634,0.23443223443223443,0.3541666666666667,0.4136979166666667,1.1680882352941178
536729,Category Promotion,2023-01-05,All,SMS,572,115,33,90.33,135.53,2.13,1.5003874681722573,0.20104895104895104,0.28695652173913044,0.7854782608695652,2.7372727272727273
98083,App Push Notification,2023-01-05,Premium,Email,899,162,75,75.38,311.12,3.38,4.1273547360042455,0.18020022246941045,0.46296296296296297,0.46530864197530863,1.0050666666666666
237744,Email Campaign,2023-01-05,All,Email,715,269,37,85.91,199.42,2.41,2.321266441624956,0.37622377622377623,0.137546468401487,0.31936802973977696,2.321891891891892
341970,Referral Program,2023-01-05,Premium,Social Media,597,228,25,91.57,351.45,3.86,3.8380473954351864,0.38190954773869346,0.10964912280701754,0.4016228070175438,3.6628
355645,New User Discount,2023-01-06,New Users,SMS,681,252,96,62.8,465.9,3.73,7.4187898089171975,0.3700440528634361,0.38095238095238093,0.24920634920634918,0.6541666666666667
975583,Weekend Special,2023-01-06,Inactive,Email,452,207,88,67.64,124.03,2.49,1.83367829686576,0.4579646017699115,0.4251207729468599,0.3267632850241546,0.7686363636363637
581515,Festival Offer,2023-01-06,Premium,Social Media,431,269,93,63.71,258.18,3.62,4.0524250510124,0.6241299303944315,0.34572490706319703,0.23684014869888476,0.6850537634408602
374203,Flash Sale,2023-01-06,Premium,App,890,276,58,71.88,244.39,2.34,3.3999721758486365,0.3101123595505618,0.21014492753623187,0.2604347826086956,1.2393103448275862
272590,Membership Drive,2023-01-06,All,App,562,244,21,99.9,211.57,2.34,2.1178178178178175,0.43416370106761565,0.0860655737704918,0.40942622950819674,4.757142857142857
423653,Category Promotion,2023-01-06,Premium,SMS,978,258,89,93.97,319.74,2.15,3.402575289986166,0.26380368098159507,0.3449612403100775,0.3642248062015504,1.0558426966292134
352132,App Push Notification,2023-01-06,Inactive,App,420,157,41,82.15,379.34,2.3,4.617650639074863,0.3738095238095238,0.2611464968152866,0.5232484076433122,2.003658536585366
258429,Email Campaign,2023-01-06,All,App,686,183,43,94.53,410.22,3.43,4.3395747381783565,0.26676384839650147,0.23497267759562843,0.5165573770491804,2.1983720930232558
360320,Referral Program,2023-01-06,All,SMS,991,272,52,99.92,291.26,1.68,2.914931945556445,0.27447023208879917,0.19117647058823528,0.3673529411764706,1.9215384615384616
787558,New User Discount,2023-01-07,All,SMS,746,75,40,97.96,273.99,3.03,2.79695794201715,0.10053619302949061,0.5333333333333333,1.3061333333333331,2.449
474008,Weekend Special,2023-01-07,New Users,Social Media,981,145,93,90.23,343.15,1.68,3.8030588496065607,0.14780835881753313,0.6413793103448275,0.6222758620689656,0.9702150537634409
128377,Festival Offer,2023-01-07,Inactive,App,752,119,38,94.24,480.55,2.64,5.099214770797963,0.15824468085106383,0.31932773109243695,0.7919327731092437,2.48
731406,Flash Sale,2023-01-07,Premium,Email,491,173,60,85.7,174.67,2.24,2.038156359393232,0.35234215885947046,0.3468208092485549,0.4953757225433526,1.4283333333333335
527952,Membership Drive,2023-01-07,All,Social Media,742,70,48,90.61,183.99,3.69,2.0305705771989846,0.09433962264150944,0.6857142857142857,1.2944285714285715,1.8877083333333333
311279,Category Promotion,2023-01-07,All,Email,514,117,100,80.97,294.78,3.27,3.640607632456465,0.22762645914396887,0.8547008547008547,0.6920512820512821,0.8097
985608,App Push Notification,2023-01-07,New Users,Social Media,534,238,29,98.76,341.18,2.79,3.4546375050627782,0.44569288389513106,0.12184873949579832,0.4149579831932773,3.4055172413793104
264495,Email Campaign,2023-01-07,All,Social Media,918,144,87,51.17,315.51,1.7,6.165917529802618,0.1568627450980392,0.6041666666666666,0.35534722222222226,0.5881609195402299
475112,Referral Program,2023-01-07,Premium,App,482,72,56,95.66,354.26,2.32,3.7033242734685343,0.14937759336099585,0.7777777777777778,1.328611111111111,1.7082142857142857
393427,New User Discount,2023-01-08,New Users,App,843,228,20,82.63,107.9,2.59,1.3058211303400704,0.2704626334519573,0.08771929824561403,0.36241228070175435,4.1315
825595,Weekend Special,2023-01-08,Inactive,App,951,155,14,51.8,238.38,2.7,4.601930501930502,0.16298633017875921,0.09032258064516129,0.33419354838709675,3.6999999999999997
180193,Festival Offer,2023-01-08,New Users,App,609,60,56,54.54,185.43,2.84,3.3998899889989,0.09852216748768473,0.9333333333333333,0.909,0.9739285714285714
955081,Flash Sale,2023-01-08,All,Email,994,66,57,88.76,313.55,2.99,3.5325597115817935,0.06639839034205232,0.8636363636363636,1.344848484848485,1.5571929824561404
838907,Membership Drive,2023-01-08,Inactive,Social Media,868,76,44,91.61,179.73,3.45,1.9619037223010587,0.08755760368663594,0.5789473684210527,1.2053947368421052,2.0820454545454545
2431,Category Promotion,2023-01-08,Premium,SMS,917,196,80,64.25,114.33,3.86,1.7794552529182879,0.21374045801526717,0.40816326530612246,0.3278061224489796,0.803125
663078,App Push Notification,2023-01-08,Premium,Social Media,628,139,64,96.89,497.86,3.84,5.138404376096605,0.2213375796178344,0.460431654676259,0.6970503597122302,1.51390625
683890,Email Campaign,2023-01-08,New Users,App,878,163,45,88.01,358.53,2.44,4.0737416202704235,0.1856492027334852,0.27607361963190186,0.5399386503067485,1.9557777777777778
620302,Referral Program,2023-01-08,All,App,720,52,64,88.62,347.0,3.22,3.9155946738885126,0.07222222222222222,1.2307692307692308,1.7042307692307692,1.3846875
246671,New User Discount,2023-01-09,Premium,App,507,233,34,97.55,415.99,3.44,4.264377242439775,0.45956607495069035,0.1459227467811159,0.4186695278969957,2.8691176470588236
235401,Weekend Special,2023-01-09,Inactive,Email,778,202,46,65.86,254.07,2.34,3.857728515031886,0.2596401028277635,0.22772277227722773,0.32603960396039605,1.4317391304347826
686452,Festival Offer,2023-01-09,Inactive,SMS,433,164,32,59.48,169.05,2.12,2.8421318090114327,0.3787528868360277,0.1951219512195122,0.3626829268292683,1.85875
147510,Flash Sale,2023-01-09,All,App,701,256,41,78.3,446.1,1.6,5.697318007662836,0.3651925820256776,0.16015625,0.305859375,1.9097560975609755
736856,Membership Drive,2023-01-09,Premium,Social Media,786,228,94,93.55,471.29,2.79,5.03784072688402,0.2900763358778626,0.41228070175438597,0.4103070175438596,0.9952127659574468
853811,Category Promotion,2023-01-09,New Users,SMS,645,141,80,78.28,267.95,3.61,3.422968829841594,0.2186046511627907,0.5673758865248227,0.555177304964539,0.9785
273999,App Push Notification,2023-01-09,Inactive,SMS,779,102,83,86.05,102.79,3.98,1.1945380592678676,0.13093709884467267,0.8137254901960784,0.8436274509803922,1.0367469879518072
656428,Email Campaign,2023-01-09,Premium,Email,705,297,100,76.25,181.4,1.7,2.379016393442623,0.42127659574468085,0.3367003367003367,0.25673400673400676,0.7625
641464,Referral Program,2023-01-09,New Users,App,430,197,84,53.58,165.64,2.96,3.091452034341172,0.45813953488372094,0.4263959390862944,0.27197969543147205,0.6378571428571428
119720,New User Discount,2023-01-10,New Users,Social Media,891,274,60,57.34,337.53,2.05,5.886466689919776,0.3075196408529742,0.21897810218978103,0.20927007299270073,0.9556666666666668
771031,Weekend Special,2023-01-10,Premium,Social Media,816,212,83,58.8,174.71,1.54,2.9712585034013608,0.25980392156862747,0.3915094339622642,0.27735849056603773,0.708433734939759
388416,Festival Offer,2023-01-10,New Users,Email,633,266,69,62.87,101.47,1.59,1.6139653252743758,0.42022116903633494,0.2593984962406015,0.2363533834586466,0.9111594202898551
106866,Flash Sale,2023-01-10,Premium,SMS,763,55,98,88.55,320.16,3.48,3.615584415584416,0.07208387942332896,1.7818181818181817,1.6099999999999999,0.9035714285714286
956829,Membership Drive,2023-01-10,All,SMS,790,160,35,80.65,318.63,2.47,3.9507749535027896,0.20253164556962025,0.21875,0.5040625000000001,2.3042857142857143
367704,Category Promotion,2023-01-10,Inactive,App,575,54,73,67.78,243.94,3.49,3.59899675420478,0.09391304347826086,1.3518518518518519,1.2551851851851852,0.9284931506849315
975948,App Push Notification,2023-01-10,Premium,SMS,763,240,76,66.9,485.37,3.07,7.255156950672645,0.3145478374836173,0.31666666666666665,0.27875,0.880263157894737
112829,Email Campaign,2023-01-10,All,Email,670,57,71,69.23,495.88,3.35,7.162790697674418,0.08507462686567165,1.2456140350877194,1.214561403508772,0.9750704225352114
72564,Referral Program,2023-01-10,Premium,Email,594,97,26,99.17,429.86,3.15,4.334576989008773,0.1632996632996633,0.26804123711340205,1.0223711340206185,3.814230769230769
322505,New User Discount,2023-01-11,All,Social Media,781,247,25,86.85,303.48,1.84,3.4943005181347155,0.31626120358514725,0.10121457489878542,0.35161943319838057,3.4739999999999998
955136,Weekend Special,2023-01-11,New Users,SMS,480,72,88,63.33,110.82,3.34,1.7498815727143533,0.15,1.2222222222222223,0.8795833333333333,0.7196590909090909
107984,Festival Offer,2023-01-11,Inactive,Social Media,442,144,42,94.55,454.3,2.28,4.804865150713908,0.3257918552036199,0.2916666666666667,0.6565972222222222,2.251190476190476
518415,Flash Sale,2023-01-11,New Users,App,806,255,44,57.48,271.71,1.81,4.727035490605428,0.3163771712158809,0.17254901960784313,0.22541176470588234,1.3063636363636364
826619,Membership Drive,2023-01-11,All,Email,923,75,45,87.99,177.34,3.07,2.0154563018524834,0.08125677139761647,0.6,1.1732,1.9553333333333331
768518,Category Promotion,2023-01-11,Premium,Email,495,76,15,97.43,334.72,2.29,3.4354921482089704,0.15353535353535352,0.19736842105263158,1.2819736842105265,6.495333333333334
613056,App Push Notification,2023-01-11,New Users,Social Media,575,88,49,72.22,175.93,1.92,2.4360288008861812,0.15304347826086956,0.5568181818181818,0.8206818181818182,1.473877551020408
448144,Email Campaign,2023-01-11,Premium,App,998,90,98,75.79,347.86,2.86,4.589787570919646,0.09018036072144289,1.0888888888888888,0.8421111111111111,0.7733673469387756
691993,Referral Program,2023-01-11,All,Email,426,184,38,87.4,463.6,2.68,5.304347826086956,0.431924882629108,0.20652173913043478,0.47500000000000003,2.3000000000000003
371098,New User Discount,2023-01-12,New Users,SMS,602,228,37,64.85,455.51,2.32,7.024055512721666,0.3787375415282392,0.16228070175438597,0.2844298245614035,1.7527027027027025
12921,Weekend Special,2023-01-12,All,SMS,411,223,53,77.01,162.9,1.69,2.115309700038956,0.5425790754257908,0.23766816143497757,0.3453363228699552,1.4530188679245284
894610,Festival Offer,2023-01-12,Premium,Social Media,444,205,29,91.79,367.91,2.9,4.008170824708574,0.4617117117117117,0.14146341463414633,0.4477560975609756,3.165172413793104
797353,Flash Sale,2023-01-12,All,SMS,651,86,58,60.12,463.15,3.21,7.703759148369927,0.13210445468509985,0.6744186046511628,0.6990697674418604,1.036551724137931
2527,Membership Drive,2023-01-12,Inactive,Email,905,244,34,74.77,130.61,2.8,1.7468235923498732,0.2696132596685083,0.13934426229508196,0.30643442622950817,2.1991176470588236
127005,Category Promotion,2023-01-12,All,Email,682,292,13,96.2,495.22,2.17,5.147817047817048,0.4281524926686217,0.04452054794520548,0.32945205479452055,7.4
947589,App Push Notification,2023-01-12,New Users,Social Media,998,95,67,71.42,323.92,2.72,4.5354242509101095,0.09519038076152304,0.7052631578947368,0.7517894736842106,1.0659701492537315
441014,Email Campaign,2023-01-12,New Users,App,539,153,73,84.98,103.71,1.69,1.2204048011296775,0.28385899814471244,0.477124183006536,0.5554248366013073,1.164109589041096
71750,Referral Program,2023-01-12,All,SMS,559,106,20,90.58,235.14,2.78,2.595937293000662,0.18962432915921287,0.18867924528301888,0.8545283018867924,4.529
89093,New User Discount,2023-01-13,New Users,App,995,194,53,50.05,256.06,2.97,5.116083916083916,0.19497487437185929,0.27319587628865977,0.25798969072164946,0.9443396226415094
86939,Weekend Special,2023-01-13,Premium,Email,727,271,57,60.22,302.02,2.17,5.015277316506144,0.37276478679504815,0.21033210332103322,0.2222140221402214,1.0564912280701755
185428,Festival Offer,2023-01-13,New Users,Email,477,52,18,79.16,177.11,3.63,2.237367357251137,0.1090146750524109,0.34615384615384615,1.5223076923076921,4.397777777777778
201860,Flash Sale,2023-01-13,Premium,SMS,524,268,24,57.79,216.81,2.28,3.7516871431043435,0.5114503816793893,0.08955223880597014,0.21563432835820895,2.4079166666666665
228662,Membership Drive,2023-01-13,Premium,Social Media,670,215,22,63.27,499.9,2.33,7.901058953690532,0.3208955223880597,0.10232558139534884,0.2942790697674419,2.875909090909091
649887,Category Promotion,2023-01-13,All,SMS,460,204,54,97.21,224.8,1.62,2.3125192881390806,0.4434782608695652,0.2647058823529412,0.47651960784313724,1.800185185185185
614011,App Push Notification,2023-01-13,All,Email,944,277,31,91.06,426.54,3.33,4.68416428728311,0.2934322033898305,0.11191335740072202,0.3287364620938628,2.9374193548387098
347537,Email Campaign,2023-01-13,New Users,Social Media,944,90,49,58.74,360.89,3.63,6.143854273067756,0.09533898305084745,0.5444444444444444,0.6526666666666667,1.1987755102040816
329103,Referral Program,2023-01-13,Inactive,Social Media,737,51,40,89.5,369.97,3.53,4.133743016759777,0.06919945725915876,0.7843137254901961,1.7549019607843137,2.2375
258531,New User Discount,2023-01-14,All,App,928,114,43,52.05,114.01,1.79,2.190393852065322,0.12284482758620689,0.37719298245614036,0.45657894736842103,1.2104651162790696
19452,Weekend Special,2023-01-14,Inactive,Email,560,134,38,61.28,183.84,2.12,3.0,0.2392857142857143,0.2835820895522388,0.4573134328358209,1.6126315789473684
672302,Festival Offer,2023-01-14,New Users,Social Media,495,287,82,83.68,426.2,2.27,5.09321223709369,0.5797979797979798,0.2857142857142857,0.2915679442508711,1.0204878048780488
726530,Flash Sale,2023-01-14,Premium,Social Media,537,138,63,93.69,459.49,1.91,4.904365460561427,0.2569832402234637,0.45652173913043476,0.6789130434782609,1.487142857142857
728217,Membership Drive,2023-01-14,New Users,Email,686,93,56,68.7,184.73,3.97,2.688937409024745,0.13556851311953352,0.6021505376344086,0.7387096774193549,1.2267857142857144
964124,Category Promotion,2023-01-14,Inactive,Email,791,117,35,76.39,179.54,3.96,2.3503076318889904,0.14791403286978508,0.29914529914529914,0.6529059829059829,2.1825714285714284
784253,App Push Notification,2023-01-14,Inactive,Email,911,137,86,74.54,488.03,1.73,6.547222967534209,0.150384193194292,0.6277372262773723,0.5440875912408759,0.8667441860465117
970408,Email Campaign,2023-01-14,All,SMS,521,65,58,70.65,213.4,2.85,3.0205237084217975,0.12476007677543186,0.8923076923076924,1.086923076923077,1.2181034482758621
184106,Referral Program,2023-01-14,New Users,Email,700,104,15,78.91,218.03,3.9,2.7630211633506527,0.14857142857142858,0.14423076923076922,0.7587499999999999,5.260666666666666
212598,New User Discount,2023-01-15,Premium,Social Media,574,174,72,81.06,186.32,1.99,2.298544288181594,0.30313588850174217,0.41379310344827586,0.46586206896551724,1.1258333333333335
868691,Weekend Special,2023-01-15,New Users,App,648,289,18,62.28,364.33,2.52,5.8498715478484264,0.44598765432098764,0.06228373702422145,0.21550173010380624,3.46
423179,Festival Offer,2023-01-15,New Users,Email,944,194,38,60.91,473.04,3.77,7.76621244459038,0.2055084745762712,0.1958762886597938,0.31396907216494846,1.6028947368421052
419397,Flash Sale,2023-01-15,Premium,App,929,203,91,85.89,459.05,3.95,5.34462684829433,0.2185145317545748,0.4482758620689655,0.42310344827586205,0.9438461538461539
985745,Membership Drive,2023-01-15,Inactive,App,886,195,99,80.43,143.56,3.07,1.784906129553649,0.2200902934537246,0.5076923076923077,0.4124615384615385,0.8124242424242425
971433,Category Promotion,2023-01-15,New Users,App,476,146,59,55.65,194.02,2.04,3.4864330637915546,0.3067226890756303,0.4041095890410959,0.38116438356164384,0.9432203389830508
551890,App Push Notification,2023-01-15,Premium,SMS,756,219,77,93.79,243.87,3.72,2.6001705938799446,0.2896825396825397,0.3515981735159817,0.42826484018264843,1.218051948051948
44292,Email Campaign,2023-01-15,All,Social Media,452,211,24,66.4,105.99,1.77,1.5962349397590359,0.4668141592920354,0.11374407582938388,0.3146919431279621,2.766666666666667
830722,Referral Program,2023-01-15,All,SMS,471,272,29,78.3,498.09,1.99,6.3613026819923375,0.5774946921443737,0.10661764705882353,0.2878676470588235,2.6999999999999997
173869,New User Discount,2023-01-16,Inactive,SMS,532,99,85,69.88,359.77,2.19,5.1483972524327415,0.18609022556390978,0.8585858585858586,0.7058585858585859,0.8221176470588235
699778,Weekend Special,2023-01-16,Inactive,Email,985,113,49,57.87,345.74,2.05,5.974425436322793,0.11472081218274112,0.4336283185840708,0.5121238938053098,1.1810204081632651
680844,Festival Offer,2023-01-16,New Users,App,627,56,33,52.02,462.74,2.87,8.895424836601308,0.08931419457735247,0.5892857142857143,0.9289285714285714,1.5763636363636364
242392,Flash Sale,2023-01-16,Inactive,Social Media,801,241,24,71.28,347.45,2.05,4.8744388327721655,0.30087390761548066,0.0995850622406639,0.2957676348547718,2.97
654312,Membership Drive,2023-01-16,Inactive,SMS,658,174,80,65.35,321.35,3.1,4.917368018362663,0.26443768996960487,0.45977011494252873,0.37557471264367814,0.8168749999999999
220680,Category Promotion,2023-01-16,New Users,Email,572,154,78,53.11,202.22,1.74,3.8075691960082847,0.2692307692307692,0.5064935064935064,0.3448701298701299,0.6808974358974359
868431,App Push Notification,2023-01-16,Premium,SMS,512,182,50,80.31,440.08,3.45,5.4797659071099485,0.35546875,0.27472527472527475,0.4412637362637363,1.6062
468046,Email Campaign,2023-01-16,All,Email,701,192,36,80.83,373.16,1.92,4.616602746505011,0.2738944365192582,0.1875,0.4209895833333333,2.245277777777778
334102,Referral Program,2023-01-16,Inactive,App,618,199,54,74.37,151.65,2.44,2.0391286809197258,0.3220064724919094,0.271356783919598,0.3737185929648241,1.3772222222222223
996717,New User Discount,2023-01-17,New Users,App,610,178,39,65.22,144.98,3.22,2.2229377491567,0.29180327868852457,0.21910112359550563,0.36640449438202244,1.6723076923076923
661529,Weekend Special,2023-01-17,New Users,Email,687,226,99,89.99,476.78,2.78,5.298144238248694,0.3289665211062591,0.43805309734513276,0.3981858407079646,0.9089898989898989
190101,Festival Offer,2023-01-17,Premium,App,839,86,50,89.61,213.89,1.71,2.3868987836179,0.10250297973778308,0.5813953488372093,1.0419767441860466,1.7922
163036,Flash Sale,2023-01-17,All,App,771,290,70,99.95,441.98,3.47,4.4220110055027515,0.3761348897535668,0.2413793103448276,0.3446551724137931,1.427857142857143
248143,Membership Drive,2023-01-17,Inactive,App,470,283,47,82.69,321.66,3.32,3.889950417220946,0.6021276595744681,0.16607773851590105,0.29219081272084807,1.7593617021276595
510340,Category Promotion,2023-01-17,Inactive,Social Media,864,135,40,85.74,162.47,2.59,1.8949148588756708,0.15625,0.2962962962962963,0.6351111111111111,2.1435
164452,App Push Notification,2023-01-17,Premium,SMS,966,229,11,62.27,438.34,2.49,7.039344788822867,0.2370600414078675,0.048034934497816595,0.27192139737991267,5.660909090909091
255195,Email Campaign,2023-01-17,All,SMS,663,295,29,62.59,352.16,3.33,5.626457900623103,0.444947209653092,0.09830508474576272,0.21216949152542375,2.1582758620689657
871314,Referral Program,2023-01-17,Inactive,App,677,63,66,75.82,109.27,3.35,1.4411764705882353,0.0930576070901034,1.0476190476190477,1.2034920634920634,1.1487878787878787
510144,New User Discount,2023-01-18,Premium,SMS,440,293,72,65.67,284.75,2.7,4.336074310948683,0.6659090909090909,0.24573378839590443,0.22412969283276452,0.9120833333333334
185843,Weekend Special,2023-01-18,Inactive,App,509,111,94,61.47,423.64,2.54,6.8918171465755655,0.2180746561886051,0.8468468468468469,0.5537837837837838,0.653936170212766
70271,Festival Offer,2023-01-18,New Users,Email,491,225,33,69.89,416.4,3.41,5.957933896122478,0.45824847250509165,0.14666666666666667,0.31062222222222224,2.1178787878787877
683553,Flash Sale,2023-01-18,Inactive,App,722,227,28,75.96,380.31,1.56,5.006714060031596,0.314404432132964,0.12334801762114538,0.3346255506607929,2.7128571428571426
748183,Membership Drive,2023-01-18,Premium,SMS,921,71,52,62.54,429.89,3.56,6.873840741925168,0.07709011943539631,0.7323943661971831,0.8808450704225352,1.2026923076923077
779070,Category Promotion,2023-01-18,All,Email,540,154,60,93.09,230.36,2.15,2.4745944784617038,0.2851851851851852,0.38961038961038963,0.6044805194805195,1.5515
340766,App Push Notification,2023-01-18,Inactive,SMS,597,220,64,94.41,210.42,3.36,2.2287893231649187,0.3685092127303183,0.2909090909090909,0.4291363636363636,1.47515625
895997,Email Campaign,2023-01-18,Premium,Email,670,126,29,84.38,448.13,2.65,5.310855652998341,0.1880597014925373,0.23015873015873015,0.6696825396825397,2.909655172413793
546723,Referral Program,2023-01-18,All,Social Media,584,182,35,70.92,397.57,3.4,5.60589396503102,0.3116438356164384,0.19230769230769232,0.38967032967032966,2.0262857142857142
275780,New User Discount,2023-01-19,Premium,Social Media,813,92,100,65.61,499.86,2.05,7.618655692729767,0.11316113161131611,1.0869565217391304,0.7131521739130434,0.6561
